,Time (hours),,,,,,,,,,,,,,,,,,,,,,
"Administrative Policies, Record Keeping, & Reporting",0.5,,,,,,,,,,,,,,,,,,,,,,
Conducting a Successful Session ,0.75,,,,,,,,,,,,,,,,,,,,,,
Role of the Tutor,0.5,,,,,,,,,,,,,,,,,,,,,,
Tutoring Do's & Don'ts,0.75,,,,,,,,,,,,,,,,,,,,,,
Active Listening & Responding,0.75,,,,,,,,,,,,,,,,,,,,,,
Tutoring Conversations,0.75,,,,,,,,,,,,,,,,,,,,,,
Advanced Study Skills,0.75,,,,,,,,,,,,,,,,,,,,,,
Time Management for Tutors & Tutees,1.1,,,,,,,,,,,,,,,,,,,,,,
"Professional Ethics (Academic Integrity & Academic Honesty, Copyright Compliance)",0.25,,,,,,,,,,,,,,,,,,,,,,
Other topic [Discovering DEI],1,,,,,,,,,,,,,,,,,,,,,,
Other topic [Kognito],0.66,,,,,,,,,,,,,,,,,,,,,,
Review of Level 1 ,0.75,,,,,,,,,,,,,,,,,,,,,,
Establishing Boundaries,0.75,,,,,,,,,,,,,,,,,,,,,,
Use of Probing Questions,0.5,,,,,,,,,,,,,,,,,,,,,,
Giving Constructive Feedback,0.75,,,,,,,,,,,,,,,,,,,,,,
Team Building,1,,,,,,,,,,,,,,,,,,,,,,
Stress Management,0.5,,,,,,,,,,,,,,,,,,,,,,
Working with Specific Populations,1.33,,,,,,,,,,,,,,,,,,,,,,
Substitute one topic from Level 1 or 3,0.75,,,,,,,,,,,,,,,,,,,,,,
Sub one topic from Level 2 or 3,0.75,,,,,,,,,,,,,,,,,,,,,,
