,Time (hours)
"Administrative Policies, Record Keeping, & Reporting",0.5
Conducting a Successful Session ,0.75
Role of the Tutor,0.5
Tutoring Do's & Don'ts,0.75
Active Listening & Responding,0.75
Communication Styles,1.3
Question Asking Strategies,1.3
Tutoring Conversations,0.75
Advanced Study Skills,0.75
Course & Syllabus Analysis,1.3
Goal Setting & Planning,1.3
Learning Theories in Academic Support,1.3
Time Management for Tutors & Tutees,1.3
Use of Graphic Organizers,1.3
Compliance with the Privacy Act (FERPA),1.3
"Professional Ethics (Academic Integrity & Academic Honesty, Copyright Compliance)",0.25
Title IX and/or Sexual Harassment,1.3
Institutional Policies & Procedures,1.3
Modeling Problem Solving,1.3
Practical Applications of Contemporary Research in the Field,1.3
Sub one topic from Level 2 or 3,1.3
Other topic [Discovering DEI],1.3
Other topic [Kognito],0.66
Review of Level 1 ,0.75
Challenging Job Situations,1.3
Establishing Boundaries,1.3
Motivational Techniques,1.3
Tutoring in Subject Areas and/or Specific Skills,1.3
Use of Probing Questions,1.3
Giving Constructive Feedback,1.3
Intercultural Communication,1.3
Role Modeling,1.3
Team Building,1.3
Working with Faculty or Staff,1.3
Working with Specific Populations,1.3
Assessing and/or changing study behaviors,1.3
Assessing Tutee's Needs,1.3
Critical Thinking Skills,1.3
Memory & Retrieval,1.3
Note Taking in the Disciplines,1.3
Stress Management,1.3
Gender Identity,1.3
Leveraging Student Information for Academic Progress,1.3
"Race, Class, & Privilege (used for L1)",1.3
Universal Design for Learning,1.3
Using self-assessment tools,1.3
Practical Applications of Contemporary Research in the Field,1.3
Understanding Neurodiversity in the College Setting,1.3
Substitute one topic from Level 1 or 3,1.3
Other: Mental Health - Anxiety,1.3
